device_id,latitude,longitude,timestamp,accuracy
device_001,19.9975,73.7898,2026-09-26 08:00:00,5.2
device_002,20.0001,73.7924,2026-09-26 08:05:00,6.1
device_003,19.9958,73.7865,2026-09-26 08:10:00,4.8
device_004,19.9992,73.7941,2026-09-26 08:15:00,7.0
device_005,20.0025,73.7902,2026-09-26 08:20:00,5.5
device_006,19.9938,73.7935,2026-09-26 08:25:00,6.4
device_007,19.9987,73.7879,2026-09-26 08:30:00,4.9
device_008,20.0015,73.7960,2026-09-26 08:35:00,5.7
device_009,19.9964,73.7912,2026-09-26 08:40:00,6.2
device_010,19.9949,73.7891,2026-09-26 08:45:00,5.1
device_011,20.0031,73.7938,2026-09-26 09:00:00,4.6
device_012,19.9979,73.7952,2026-09-26 09:05:00,5.9
device_013,19.9927,73.7874,2026-09-26 09:10:00,7.2
device_014,20.0008,73.7895,2026-09-26 09:15:00,5.4
device_015,19.9952,73.7964,2026-09-26 09:20:00,6.0
device_016,19.9999,73.7920,2026-09-26 09:25:00,4.7
device_017,20.0020,73.7886,2026-09-26 09:30:00,5.3
device_018,19.9943,73.7948,2026-09-26 09:35:00,6.6
device_019,19.9981,73.7907,2026-09-26 09:40:00,5.0
device_020,20.0012,73.7956,2026-09-26 09:45:00,5.8
device_021,19.9768,73.7882,2026-09-26 10:00:00,4.5
device_022,19.9939,73.7519,2026-09-26 10:05:00,6.3
device_023,20.0005,73.7931,2026-09-26 10:10:00,5.6
device_024,20.0272,73.7968,2026-09-26 10:15:00,4.9
device_025,20.0035,73.7909,2026-09-26 10:20:00,7.1
device_026,19.9556,73.7871,2026-09-26 10:25:00,5.2
device_027,19.9995,73.7943,2026-09-26 10:30:00,6.5
device_028,19.9929,73.8199,2026-09-26 10:35:00,5.8
device_029,20.0018,73.7927,2026-09-26 10:40:00,4.6
device_030,19.9961,73.7950,2026-09-26 10:45:00,6.0
